,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육기관명,과정명,교육시작일자,교육종료일자,교육일수,교육시간,교육장소,온라인/오프라인,강사명,내일배움카드 필요 유뮤,수강료 지원금,자비부담금,수강료 합계,지원혜택,,훈련목표,커리큘럼,,,,,,,,,,지원자격,,선발절차,,,,훈련시설 및 장비,,,프로젝트,,,,,취업지원서비스,,,
한국직업능력교육원(구.열린드림기술교육원),"IoT기반 스마트팩토리(PLC,HMI,SCADA) 제어설계",20251204,20260519,111,880,경기 군포시,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.PLC Programming: Ladder Logic 및 Structured Text 등을 활용하여 생산 설비의 순차/논리 제어 로직 설계 및 구현
2.SCADA/HMI: 공정 감시 및 데이터 수집을 위한 SCADA(감시 제어 및 데이터 수집) 시스템 구축 및 HMI(인간-기계 인터페이스) 화면 설계 ",기본,심화,심화,없음,없음,없음,없음,심화,심화,심화, 국민내일배움카드 발급 가능자 , 기본적인 전기 회로 및 시퀀스 제어 지식이 있는 분 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
국립부경대학교,인공지능 블록봇(챗봇) 실무프로젝트,20251204,20260821,145,960,부산 남구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.NLP & LLM: 자연어 처리(NLP) 기본기 및 LLM의 구조 이해. OpenAI API 연동 또는 오픈소스 모델 파인튜닝 실습
2.Service Deployment: Python을 활용하여 챗봇 API 서버를 구축하고, 웹 또는 카카오톡/슬랙 등 메신저 플랫폼에 연동 ",심화,심화,심화,기본,심화,심화,심화,기본,기본,기본, 국민내일배움카드 발급 가능자 ," 컴퓨터공학, 통계학, 인공지능 관련 전공자. 언어 데이터를 다루는 것에 흥미가 있고, 새로운 AI 기술에 대한 학습 열의가 높은 분 ", O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
그린컴퓨터아트학원,"[KDT]웹퍼블리셔(UIUX)&프론트엔드개발(API,ChatGPT,피그마,리액트,뷰)기업플랫폼프로젝트",20251205,20260601,120,960,서울 구로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.UI/UX & Publishing: Figma를 활용하여 웹/앱 디자인 시안을 제작하고, HTML/CSS/JavaScript를 이용해 반응형 웹을 구현하는 웹 퍼블리셔 역량 확보
2.AI & API Integration: ChatGPT/OpenAI API와 같은 외부 API를 연동하여 지능형 기능을 프론트엔드에 통합하는 실무 능력 배양 ",심화,기본,기본,기본,심화,없음,없음,없음,기본,심화, 국민내일배움카드 발급 가능자 ," 디자인 또는 IT 분야에 관심이 있고, JavaScript 기초 문법에 대한 이해가 있는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
(주)KD아카데미컴퓨터학원 하남미사점,"프로젝트기반 풀스택 개발자 양성 과정(Java,Node,React,Vue)",20251205,20260602,120,960,경기 하남시,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Dual Backend: Java/Spring Boot를 활용한 엔터프라이즈 서버 구축 및 Node.js를 활용한 고성능/실시간 서버 구축 능력 확보
2.Dual Frontend: React.js와 Vue.js의 핵심 개념 및 실무 코딩 패턴을 익혀 시장의 다양한 요구에 대응 ",기본,심화,기본,심화,기본,기본,심화,기본,기본,심화, 국민내일배움카드 발급 가능자 , 컴퓨터공학 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
(주)KD아카데미,"클라우드기반 AI Automation 스마트관리시스템(물류관리,생산관리)자바 백엔드개발",20251205,20260602,120,960,서울 노원구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Backend Mastery: Java 언어와 Spring Framework/SpringBoot를 활용하여 대규모 데이터 처리 및 다수의 클라이언트 요청을 처리하는 서버 로직 개발
2.Smart System Domain: 물류 및 생산 현장의 데이터(센서, 재고, 공정)를 관리하고, 이 데이터를 기반으로 최적화된 서비스를 제공하는 시스템 설계 ",심화,기본,기본,기본,기본,기본,심화,기본,기본,심화, 국민내일배움카드 발급 가능자 ," 컴퓨터공학, 산업공학, 물류 관련 전공자. 제조업 또는 물류/SCM 분야에 대한 관심이 높은 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
대한상공회의소,재직자_[SK AX] 생성형 AI 서비스 개발 Skill-up (SKALA-G.AI),20251208,20251212,5,40,서울 중구,오프라인,미상,유, 726000 , 0 ," 726,000 ", - , 없음 ," 1.Generative AI Core: **LLM(거대 언어 모델)**의 동작 원리 이해 및 기업 환경에 적합한 모델 선정 및 활용 전략 수립
2.SKALA-G.AI Framework: SK 그룹의 AI 시스템(SKALA)을 기반으로 생성형 AI 에이전트를 설계하고 구축하는 실무 지침 습득 ",심화,심화,심화,기본,기본,기본,심화,기본,심화,기본, 고용보험에 가입된 재직자 ,"  IT 개발 또는 데이터 분석 경력이 $2\sim3$년 이상이며, AI 기술을 소속 조직의 업무에 통합하고자 하는 명확한 목표를 가진 자 ", O , X , X , X , 개인장비 , O , 없음 , 2 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
KD아카데미컴퓨터학원 김포점,기업요구를 반영한 프로젝트 기반 풀스택 개발자 양성과정,20251208,20260601,120,960,경기 김포시,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Backend Core: Java 언어와 Spring Framework/SpringBoot를 활용하여 기업용 웹 서비스의 안정적인 백엔드 서버 구축
2.Frontend: HTML/CSS/JavaScript를 기본으로 React 또는 Vue를 활용하여 사용자 인터페이스 개발 ",기본,심화,기본,기본,기본,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 ", 컴퓨터공학 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
부산IT교육센터,"[K디지털] Next Gen AI 융합 풀스택(스프링, 리액트, 앱) 개발자 양성",20251208,20260623,133,1050,부산 부산진구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Backend Core: Java 언어와 Spring Boot 프레임워크를 활용하여 안정적인 RESTful API 서버 구축 및 DB 연동
2.AI Integration: ChatGPT/LLM API 등 AI 기술을 웹 및 앱 서비스에 연동하여 지능형 기능을 구현하는 실무 능력 배양 ",기본,심화,기본,심화,심화,기본,심화,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 ", 컴퓨터공학 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
주식회사경일게임아이티아카데미,XR 기술을 활용한 게임 개발자 부트캠프,20251208,20260730,160,1280,서울 강동구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.XR Core Technology: Unity/Unreal 엔진을 활용하여 VR, AR 콘텐츠를 개발하고, 공간 인식 및 사용자 인터랙션(Interaction)을 구현
2.Programming: C#(Unity) 또는 C++(Unreal) 언어를 활용하여 게임 로직 및 엔진 기능을 확장 ",기본,기본,기본,기본,기본,기본,심화,기본,기본,심화," 국민내일배움카드 발급 가능자, 게임/XR 개발에 대한 높은 열정이 있는 구직자 "," 컴퓨터공학, 게임공학, 소프트웨어 전공자. 수학/물리적 개념 이해가 빠르고, 3D 환경에 대한 흥미가 높은 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
대한상공회의소,[두산로보틱스] 지능형 로보틱스 엔지니어,20251208,20260611,123,845,서울 중구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Robotics Core: ROS(로봇 운영체제)를 활용한 로봇 제어 시스템 구축 및 역기구학(Inverse Kinematics) 등 로봇 동역학(Dynamics) 이해
2.Intelligent System: 카메라/LiDAR 등 센서 데이터를 이용한 컴퓨터 비전 및 AI 객체 인식 기술을 로봇 핸들링에 통합 ",기본,심화,기본,기본,심화,기본,기본,기본,기본,심화, 국민내일배움카드 발급 가능자 ," C/C++ 또는 Python 프로그래밍 경험이 있으며, 제어 공학 또는 임베디드 시스템에 대한 이해가 있는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
한국전파진흥협회,[네오위즈] Advanced K-Game Academy,20251208,20260803,162,1295,서울 강동구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Engine Mastery: Unity 또는 Unreal Engine을 활용하여 게임의 핵심 로직(AI, Physics, Rendering)을 최적화된 코드로 구현
2.Advanced Programming: C++(Unreal) 또는 C#(Unity) 기반의 고급 프로그래밍 기술 및 자료구조/알고리즘을 활용한 복잡한 시스템 설계 ",기본,기본,기본,기본,기본,기본,기본,기본,기본,심화, 국민내일배움카드 발급 가능자 ," 컴퓨터공학, 게임공학 전공자. 알고리즘 및 자료구조에 대한 이해가 높고, 개발 직무로 명확히 목표를 설정한 분 ", O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
한울직업전문학교,인공지능 기술 융합 백엔드 웹 전문개발자 양성,20251208,20260622,130,1040,광주 서구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Backend Mastery: Java/Spring Boot 또는 Python/Django/Flask를 활용하여 웹 서비스의 핵심 서버 로직 및 RESTful API 개발
2.AI Integration: LLM(ChatGPT), Computer Vision, 추천 알고리즘 등의 AI 모델 API를 백엔드 서버에 연동하여 지능형 기능 구현 ",기본,기본,기본,기본,기본,기본,기본,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 ", 컴퓨터공학 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
패스트캠퍼스강남학원,재직자_INNER CIRCLE : 인공지능(AI) 마스터 Course,20251208,20260401,63,204,서울 강남구,오프라인,미상,유, 726000 , 0 ," 726,000 ", - , 없음 ," 1.Deep Learning Mastery: CNN, RNN, Transformer 등 최신 딥러닝 아키텍처를 심도 있게 학습하고 응용
2.MLOps & Deployment: 개발된 AI 모델을 클라우드 환경(AWS/GCP)에서 안정적으로 배포, 모니터링, 재훈련하는 MLOps 기술 습득 ",심화,심화,심화,기본,기본,기본,기본,기본,기본,기본, 고용보험에 가입된 재직자 ," 2~3년 이상 경력의 현직 개발자, 데이터 분석가 또는 AI 관련 프로젝트 관리자. Python 프로그래밍 및 선형대수/통계학 기초 지식이 필수 ", O , X , X , X , 개인장비 , O , 없음 , 2 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
엠비씨(MBC)아카데미 컴퓨터교육센터 수원점,AI기반 시스템 및 응용소프트웨어 개발자 양성과정,20251208,20260602,119,950,경기 수원시 팔달구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.System Programming Core: OS(운영체제) 환경 및 서버 시스템에 대한 이해를 바탕으로, 효율적인 백엔드 로직 및 시스템 소프트웨어 개발
2.AI Model Integration: Python 및 ML/DL 프레임워크를 활용하여 AI 모델을 개발하고, 이를 Java/C++ 등의 응용 소프트웨어에 연동하여 지능형 기능 구현 ",심화,심화,심화,기본,기본,기본,기본,기본,기본,기본," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 ", 컴퓨터공학/소프트웨어 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
대우능력개발원,클라우드 기반 웹 개발자(보안코딩) 양성,20251208,20260807,160,1024,서울 서대문구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Backend Development: Java 및 Spring Framework/SpringBoot를 활용한 웹 서비스 API 및 서버 로직 구현
2.Security Coding: OWASP Top 10 등 주요 웹 취약점 분석 및 보안 코딩 기법을 적용하여 안전한 소스코드 작성 능력 확보 ",심화,심화,기본,기본,심화,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 ", 컴퓨터공학 전공자 , O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
(주)문화방송,[MBC 미디어 캠퍼스] AI 기반 데이터 저널리스트 양성 과정,20251208,20260406,80,640,서울 마포구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Data Collection & Analysis: Python(Pandas, Beautiful Soup)을 활용한 데이터 수집(크롤링), 정제, 통계 분석
2.AI & NLP: AI 기술(텍스트 분석, NLP)을 활용하여 대량의 뉴스, 소셜 미디어 트렌드를 분석하고 숨겨진 패턴(탐사 주제)을 발견 ",기본,기본,기본,기본,기본,기본,심화,기본,기본,심화, 국민내일배움카드 발급 가능자 ," 언론학, 사회학, 통계학, 컴퓨터공학 전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
그린컴퓨터아카데미,"IoT 지능형 관리시스템 웹&앱 개발자 양성과정(Java,Python,React)",20251208,20260522,113,900,울산 남구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.IoT Device Interface: 라즈베리 파이 등 엣지 디바이스를 활용하여 센서 데이터를 수집하고, Python을 이용해 데이터를 가공
2.Backend & API: Java/Spring을 활용하여 대규모 IoT 데이터를 저장하고 관리하는 백엔드 서버 및 API 개발 ",기본,기본,기본,기본,없음,심화,없음,심화,심화,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 "," 컴퓨터공학, 전자공학, 제어계측공학 등 하드웨어 및 소프트웨어 융합 분야에 관심이 높은 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
더조은컴퓨터학원,"빅데이터(파이썬) 분석 기반 AI(머신러닝, 딥러닝) & 추천 알고리즘 개발",20251208,20260611,125,1000,서울 구로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Big Data & ML/DL: Python과 라이브러리(Pandas, Scikit-learn)를 활용한 대규모 데이터 전처리 및 머신러닝/딥러닝 모델 개발
2.Service Integration: 개발된 추천 모델을 API로 구현하여 실제 웹/앱 서비스에 연동하는 개발 전문가로서의 역량 확보 ",심화,심화,심화,심화,기본,기본,기본,기본,기본,기본, 국민내일배움카드 발급 가능자 ," 통계학, 수학, 컴퓨터공학 전공자 ", O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
그린컴퓨터아카데미 부산,자바&Springboot 크로스 플렛폼(풀스택) 융합 응용SW개발자 양성과정,20251208,20260602,119,950,부산 부산진구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Full-Stack Core: Java 언어와 Spring Boot 프레임워크를 활용한 RESTful API 서버 구축 및 DB 연동
2.Cross-Platform: React Native, Flutter 등의 기술을 활용하여 단일 코드 베이스로 웹, 모바일(iOS/Android)에 배포 가능한 응용 소프트웨어 개발 ",기본,심화,기본,기본,기본,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 ", 컴퓨터공학 전공자 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,생성형 AI를 활용한 영상 웹퍼블리셔&프론트엔드(React) 개발자 양성,20251208,20260527,115,918,서울 강동구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Web Publishing & UI/UX: HTML, CSS, JavaScript를 기반으로 웹 표준 및 웹 접근성을 준수하는 반응형 웹 퍼블리싱 마스터
2.Generative AI & Content: 생성형 AI 툴을 활용하여 이미지, 텍스트, 영상 콘텐츠를 효율적으로 제작하고, 이를 웹 서비스에 통합하는 기술 습득 ",심화,기본,기본,기본,심화,기본,기본,없음,기본,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 "," 영상, 디자인, 미디어 관련 분야에 관심이 있거나, 창의적인 콘텐츠 제작에 흥미를 느끼는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
그린컴퓨터아트학원,『프로젝트기반』프론트엔드 개발자 양성(Figma/React/Next.js/PHP/Mysql/chatGPT),20251208,20260608,125,1000,서울 종로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Advanced Frontend: React.js를 마스터하고, Next.js를 활용하여 SEO(검색 엔진 최적화) 및 고성능 웹 개발 능력 확보
2.UI/UX & Design Tool: Figma를 활용하여 디자이너와 협업하고, 완성된 디자인을 웹으로 구현하는 웹 퍼블리싱 능력 습득 ",기본,기본,기본,기본,심화,심화,심화,심화,기본,심화, 국민내일배움카드 발급 가능자 ," 디자인 및 개발 양쪽에 흥미가 있으며, 최신 프론트엔드 기술을 활용하여 고품질 웹 서비스를 만들고자 하는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
베스핀글로벌주식회사,AI MSP 베스핀글로벌의 멀티클라우드(AWS·Azure·GCP·NCP) 엔지니어 부트캠프,20251208,20260609,125,1000,서울 서초구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Multi-Cloud Mastery: AWS, Azure, GCP, NCP 등 4대 주요 클라우드의 핵심 서비스(Compute, Storage, Networking)를 이해하고 운영
2.AI MSP Focus: AI 모델 및 데이터 분석 플랫폼을 클라우드 환경에 최적화하여 구축하고 관리하는 지능형 인프라 운영 능력 확보 ",기본,기본,심화,기본,심화,심화,기본,기본,심화,심화, 국민내일배움카드 발급 가능자 ," 컴퓨터공학, 정보통신공학 등 이공계열 전공자. 서버 관리 및 시스템 운영에 흥미를 느끼는 분 ", O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
주식회사경일게임아이티아카데미,생성형 AI를 활용한 게임 기획자 부트캠프,20251208,20260730,160,1280,서울 강동구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Game Planning Fundamentals: 게임 디자인 문서(GDD) 작성, 시스템/콘텐츠/경제/레벨 디자인 등 핵심 기획 업무 마스터
2.AI Art & Concept: Midjourney, Stable Diffusion 등 AI 이미지 생성 툴을 활용하여 게임 콘셉트 아트 및 아이디어를 시각화 ",기본,없음,없음,없음,심화,없음,심화,기본,없음,심화," 국민내일배움카드 발급 가능자, 게임 기획에 대한 높은 열정이 있는 구직자 "," 문예 창작, 디자인, 심리학 등 인문/사회 계열 전공자. 논리적 사고력과 뛰어난 문서 작성 및 커뮤니케이션 능력이 있는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
애드인에듀 아카데미 구로가산센터,심화_ROS2와 AI를 활용한 자율주행&로봇팔 개발자 부트캠프,20251208,20260211,44,349,서울 금천구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 116,000 ", 없음 ," 1.ROS2 Mastery: ROS2의 아키텍처(DDS, RQT)를 이해하고, C++ 또는 Python을 사용하여 로봇 기능(노드, 토픽, 서비스) 구현
2.Autonomous Driving: SLAM(동시적 위치 추정 및 지도 작성), Path Planning(경로 계획), 센서 융합(LiDAR/Camera) 등 자율주행의 핵심 모듈 개발 ",심화,심화,기본,기본,심화,기본,심화,심화,심화,심화, 국민내일배움카드 발급 가능자 ," 컴퓨터공학, 로봇공학, 기계공학, 전자공학 등 이공계 전공자. 복잡한 제어 시스템 개발에 흥미를 느끼는 분 ", O , O , O , X , PC , O , 없음 , 2 , 2 , 자율구성 , Notion , O , O , O , O , O 
에듀윌 국비교육원 구로센터,GEN-AI RAG 문자(음성)데이터응용SW 개발자 과정,20251208,20260605,120,960,서울 구로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Generative AI Core: LLM(거대 언어 모델)의 동작 원리를 이해하고, API 연동 및 프롬프트 엔지니어링 기술 습득
2.Data Processing (NLP/ASR): 문자 데이터(텍스트) 분석 및 정제, 음성 데이터를 ASR 기술로 텍스트화하고 이를 RAG 파이프라인에 통합 ",심화,심화,심화,심화,기본,심화,심화,기본,기본,기본, 국민내일배움카드 발급 가능자 ," 컴퓨터공학, 통계학, 인공지능 관련 전공자. 자연어 처리, 음성 인식 등 언어 데이터에 흥미가 있는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
(주)이스트소프트,"[이스트캠프] 오르미 프론트엔드 개발(React, HTML/CSS/JavaScript)",20251209,20260427,91,728,서울 서초구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Frontend Core: HTML5, CSS3, ES6+ JavaScript를 마스터하고, 웹 표준 및 웹 접근성을 준수하는 반응형 웹 퍼블리싱 능력 확보
2.React Mastery: React.js 프레임워크를 활용하여 컴포넌트 기반의 UI 설계 및 구현, Hooks 및 상태 관리(Redux/Recoil 등) 심화 학습 ",기본,심화,기본,기본,심화,기본,기본,심화,심화,심화," 국민내일배움카드 발급 가능자, 6개월 이상의 장기 훈련에 집중할 수 있는 미취업자 ", 논리적 사고력과 뛰어난 문제 해결 능력을 가진 분. 프론트엔드 개발에 대한 명확한 목표를 가진 분 , O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
하이미디어아카데미,(실무 프로젝트기반) 자바 풀스택 개발자(React.js와 Springboot활용),20251209,20260625,133,1060,서울 서대문구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java & Spring Boot: Java 언어 기반으로 Spring Boot와 Spring Data JPA 등을 활용하여 대규모 트래픽에도 안정적인 RESTful API 서버 구축
2.Modern Frontend: React.js를 활용하여 상태 관리(State Management) 및 컴포넌트 기반의 SPA(Single Page Application) 개발 ",기본,심화,기본,심화,기본,기본,기본,기본,기본,심화," 국민내일배움카드 발급 가능자, 장기간의 풀스택 학습에 전념할 수 있는 미취업자 ", 컴퓨터공학 전공자. 논리적인 시스템 설계와 대규모 데이터 처리에 흥미를 느끼는 분 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
코드랩아카데미학원,카티아 로보틱스 설계와 유니티 스마트팩토리 가상구현,20251209,20260611,125,1000,서울 금천구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.CATIA & Robotics Design: CATIA(Computer-Aided Three-dimensional Interactive Application)를 활용하여 로봇팔, 컨베이어 시스템 등 산업용 로봇의 3D 모델링 및 운동학(Kinematics) 설계
2.Virtual Testing & Optimization: 가상 환경에서 로봇의 작업 경로, 충돌, 효율성 등을 시뮬레이션하고 검증하여 최적화된 로봇 동작 도출 ",심화,기본,기본,기본,심화,기본,기본,기본,기본,심화, 국민내일배움카드 발급 가능자 ," 기계공학, 로봇공학, 산업공학, 컴퓨터공학 전공자. 설계와 개발을 융합하여 가상 세계를 통한 현실 문제 해결에 흥미를 느끼는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
오라클자바교육학원,클라우드 기반 빅데이터 융합 자바(JAVA) 풀스택개발자 양성과정,20251209,20260713,146,960,서울 구로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Full-Stack Core: Java와 Spring Framework/Spring Boot를 활용하여 안정적인 웹 서버 및 API 구축
2.Big Data Fundamentals: 빅데이터의 개념과 기본적인 처리 메커니즘(예: RDB와 NoSQL)을 이해하고, 대규모 데이터를 처리하는 시스템에 대한 지식 습득 ",기본,심화,심화,기본,기본,기본,없음,심화,기본,심화," 국민내일배움카드 발급 가능자, 장기간의 자바 풀스택 학습에 집중할 수 있는 구직자 ", 컴퓨터공학 전공자. 대용량 트래픽 처리와 시스템 아키텍처 설계에 흥미를 느끼는 분 , O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
스마트인재개발원,언어지능기반 분석서비스 개발자과정,20251209,20260625,134,1040,광주 동구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.NLP Fundamentals: Python을 기반으로 텍스트 전처리, 형태소 분석, 토큰화 등 자연어 처리의 기본 지식 및 기술 습득
2.AI Modeling: 머신러닝 및 딥러닝 알고리즘(RNN, Transformer 등)을 활용하여 텍스트 분류, 감성 분석, 개체명 인식 등 언어지능 모델 구현 ",심화,심화,심화,기본,없음,심화,기본,기본,심화,기본, 국민내일배움카드 발급 가능자 ," 컴퓨터공학, 통계학, 인공지능, 언어학 관련 전공자. 텍스트 데이터를 분석하고 의미를 도출하는 일에 흥미를 느끼는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
한국소프트웨어인재개발원,실무로 배우는 생성형AI & 클라우드 서비스 개발 전문가 과정(GPT & LLM 활용),20251209,20260619,130,1040,서울 금천구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Generative AI & LLM: GPT, LLM(거대 언어 모델)의 작동 원리 이해 및 API 연동 기술 습득. LangChain/LlamaIndex 등 프레임워크를 활용한 서비스 구축
2.Cloud Service: AWS 또는 Azure/GCP 등 클라우드 플랫폼을 활용하여 개발된 AI 서비스를 서버리스(Serverless) 환경 등에 배포 및 운영하는 DevOps 역량 확보 ",심화,심화,심화,기본,기본,심화,심화,기본,심화,심화, 국민내일배움카드 발급 가능자 ," 컴퓨터공학, 정보통신학 전공자. 최신 AI 기술을 활용하여 실제 작동하는 웹/앱 서비스를 만들어 보고 싶은 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
(주)이스트소프트,[이스트캠프] 가디언즈 정보보호 및 보안 인프라 운영 관리,20251209,20260428,92,736,서울 서초구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Security Infrastructure: 방화벽, IDS/IPS, VPN 등 보안 장비의 운영 및 설정 관리, 클라우드 환경에서의 보안 인프라 이해
2.Security Operation (Blue Team): SIEM(통합 보안 관리 시스템)을 활용하여 로그를 분석하고 실시간 침해 시도를 탐지하는 보안 관제(SOC) 실무 마스터 ",심화,기본,심화,기본,기본,기본,기본,심화,기본,심화, 국민내일배움카드 발급 가능자 ," 정보보호학, 컴퓨터공학 전공자. 시스템의 안정적인 운영 및 문제 해결에 흥미를 느끼는 분 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Notion , O , O , O , O , O 
